title,herb,shrb,smll_tree,lrg_tree,habitat_complexity,ndvi,connected_greenspace_point6_area,connected_greenspace_point8_area,connected_tree_5m_area,days_into_survey,year,hour_of_day,survey_square,land_use
202 6,0.134,0.02,0.023,0.086,0.55,0.45,0,0,0,59,2024,14,202,Public carpark
702 1,0.339,0.117,0.107,0.097,0.91,0.65,0,0,0,55,2024,17,702,Public residential
799 9,0.282,0.134,0.146,0.21,0.99,0.77,0.1,0.07,0.02,55,2024,16,799,Non-protected woodland
799 1,0.274,0.099,0.1,0.056,0.83,0.53,0,0,0,55,2024,16,799,Other
922 4,0.191,0.106,0.062,0.049,0.74,0.39,0,0,0,55,2024,15,922,Public carpark
922 8,0.781,0.062,0.053,0.026,0.51,0.7,0.01,0,0,55,2024,15,922,Public park
922 7,0.525,0.081,0.107,0.093,0.83,0.64,0.01,0,0.03,55,2024,15,922,Public residential
922 1,0.365,0.111,0.071,0.044,0.82,0.5,0,0,0,55,2024,15,922,Other
987 5,0.377,0.058,0.038,0.011,0.66,0.51,0,0,0,55,2024,15,987,Public park
1020 6,0.684,0.086,0.096,0.135,0.61,0.87,1,0.49,0.41,55,2024,14,1020,Nature reserve
1020 4,0.318,0.125,0.165,0.392,0.81,0.87,1,0.49,0.41,55,2024,14,1020,Nature reserve
1020 1,0.368,0.085,0.136,0.41,0.76,0.86,1,0.49,0.41,55,2024,14,1020,Nature reserve
1020 5,0.604,0.085,0.122,0.142,0.75,0.86,1,0.49,0.05,55,2024,14,1020,Nature reserve
1020 3,0.206,0.086,0.157,0.518,0.8,0.88,1,0.49,0.45,55,2024,13,1020,Nature reserve
1020 11,0.571,0.044,0.075,0.216,0.76,0.83,1,0.49,0.42,55,2024,13,1020,Public cemetery
1020 8,0.694,0.035,0.055,0.111,0.63,0.76,1,0,0,55,2024,13,1020,Public cemetery
990 6,0.643,0.063,0.1,0.124,0.71,0.86,1,0.49,0.02,55,2024,12,990,Nature reserve
989 3,0.907,0.017,0.026,0.02,0.27,0.86,1,0.49,0.06,55,2024,12,989,Nature reserve
989 5,0.54,0.104,0.15,0.188,0.78,0.88,1,0.49,0.06,55,2024,12,989,Nature reserve
989 2,0.525,0.089,0.101,0.186,0.83,0.86,1,0.49,0.11,55,2024,12,989,Nature reserve
989 11,0.462,0.102,0.08,0.118,0.87,0.76,1,0.49,0.01,55,2024,12,989,Nature reserve
989 8,0.846,0.038,0.038,0.063,0.39,0.88,1,0.49,0.01,55,2024,12,989,Nature reserve
989 6,1,0,0,0,0,0.87,1,0.49,0,55,2024,12,989,Nature reserve
989 1,0.553,0.094,0.08,0.166,0.81,0.74,1,0.49,0.03,55,2024,11,989,Nature reserve
