title,herb,shrb,smll_tree,lrg_tree,habitat_complexity,ndvi,connected_greenspace_point6_area,connected_greenspace_point8_area,connected_tree_5m_area,days_into_survey,year,hour_of_day,survey_square,land_use
231 1,0.544,0.107,0.105,0.065,0.81,0.75,0.1,1,0.03,9,2024,13,231,Nature reserve
492 10,0.656,0.054,0.035,0.03,0.62,0.36,0,0,0,5,2024,11,492,Other
492 6,0.619,0.059,0.046,0.048,0.68,0.5,0,0,0,5,2024,11,492,Other
492 3,0.146,0.036,0.038,0.093,0.63,0.41,0,0,0,5,2024,11,492,Private commercial
492 11,0.487,0.047,0.041,0.057,0.73,0.57,0,0,0,5,2024,10,492,Public park
492 7,0.369,0.021,0.049,0.193,0.81,0.67,0,0,0,5,2024,10,492,Public park
239 6,0.182,0.053,0.084,0.179,0.83,0.52,0,0,0,2,2024,16,239,Public roadside
239 11,0.092,0.061,0.098,0.165,0.77,0.44,0,0,0,2,2024,16,239,Public roadside
239 12,0.359,0.043,0.061,0.121,0.81,0.55,0,0,0,2,2024,16,239,Public roadside
239 8,0.227,0.039,0.048,0.064,0.68,0.37,0,0,0,2,2024,15,239,Public roadside
239 3,0.035,0.051,0.004,0.001,0.24,0.19,0,0,0,2,2024,15,239,Private commercial
239 5,0.017,0.013,0.002,0,0.11,0.08,0,0,0,2,2024,15,239,Private commercial
239 1,0.13,0.047,0.028,0.009,0.47,0.24,0,0,0,2,2024,15,239,Private residential
335 7,0.253,0.101,0.035,0.022,0.69,0.32,0,0,0,2,2024,14,335,Public residential
335 9,0.323,0.107,0.046,0.018,0.73,0.4,0,0,0,2,2024,14,335,Private residential
335 1,0.173,0.095,0.047,0.022,0.64,0.33,0,0,0,2,2024,14,335,Public carpark
335 10,0.241,0.059,0.035,0.022,0.63,0.32,0,0,0,2,2024,14,335,Private residential
336 8,0.256,0.065,0.073,0.102,0.81,0.24,0,0,0,2,2024,14,336,Public park
336 10,0.833,0.025,0.023,0.048,0.42,0.65,0,0,0,2,2024,13,336,Public cemetery
336 9,0.433,0.023,0.033,0.094,0.72,0.49,0,0,0,2,2024,13,336,Public cemetery
336 1,0.803,0.027,0.029,0.073,0.47,0.68,0,0,0,2,2024,13,336,Public cemetery
336 6,0.206,0.064,0.097,0.096,0.81,0.47,0,0,0.02,2,2024,13,336,Public residential
336 2,0.067,0.009,0.005,0.01,0.24,0.21,0,0,0,2,2024,12,336,Private commercial
906 4,0.398,0.141,0.15,0.282,0.87,0.84,0.02,0.02,0.06,98,2023,12,906,Nature reserve
906 6,0.596,0.087,0.097,0.192,0.73,0.81,0.02,0.02,0.07,98,2023,11,906,Nature reserve
906 9,0.752,0.067,0.072,0.109,0.52,0.75,0.02,0.02,0.04,98,2023,11,906,Nature reserve
906 8,0.924,0.021,0.024,0.021,0.23,0.65,0.02,0.02,0.04,98,2023,11,906,Nature reserve
906 2,0.765,0.041,0.005,0.01,0.45,0.71,0.02,0,0,98,2023,11,906,Nature reserve
906 5,0.339,0.087,0.074,0.096,0.86,0.51,0.02,0,0,98,2023,11,906,Public residential
906 7,0.26,0.074,0.103,0.178,0.91,0.65,0.02,0.02,0.05,98,2023,10,906,Nature reserve
474 6,0.132,0.06,0.055,0.065,0.65,0.45,0.06,0,0,96,2023,17,474,Private commercial
474 4,0.246,0.045,0.058,0.225,0.85,0.65,0.08,0.02,0.02,96,2023,17,474,Public park
474 5,0.431,0.042,0.05,0.156,0.82,0.67,0.02,0.02,0,96,2023,16,474,Public park
506 8,0.594,0.039,0.037,0.078,0.69,0.71,0.02,0.02,0,96,2023,16,506,Public park
506 10,0.52,0.027,0.034,0.098,0.72,0.68,0.02,0,0,96,2023,16,506,Public park
506 12,0.491,0.035,0.037,0.098,0.74,0.69,0.02,0.02,0,96,2023,16,506,Public park
506 4,0.678,0.012,0.021,0.042,0.55,0.78,0.02,0.02,0,96,2023,16,506,Public park
506 5,0.886,0.018,0.029,0.042,0.32,0.86,0.02,0.02,0.02,96,2023,16,506,Public park
506 1,0.573,0.073,0.083,0.209,0.76,0.81,0.02,0.02,0.02,96,2023,15,506,Public park
506 2,0.575,0.076,0.084,0.164,0.79,0.83,0.02,0.02,0.02,96,2023,15,506,Public park
538 7,0.423,0.071,0.056,0.1,0.82,0.77,0.02,0,0,96,2023,15,538,Other
538 11,0.197,0.079,0.068,0.108,0.8,0.6,0.02,0,0,96,2023,15,538,Private residential
569 8,0.342,0.161,0.145,0.129,0.97,0.67,0.02,0.01,0,92,2023,19,569,Other
569 3,0.324,0.13,0.114,0.099,0.92,0.66,0.02,0.01,0,92,2023,19,569,Other
569 5,0.328,0.124,0.091,0.034,0.83,0.55,0.02,0.01,0,92,2023,19,569,Other
569 4,0.393,0.123,0.11,0.153,0.93,0.72,0.02,0.01,0,92,2023,19,569,Other
569 9,0.687,0.075,0.073,0.093,0.66,0.81,0.02,0.07,0.1,92,2023,18,569,Sports field
569 2,0.673,0.055,0.082,0.19,0.59,0.84,0.02,0.07,0.07,92,2023,18,569,Sports field
569 11,0.198,0.083,0.115,0.319,0.94,0.77,0.02,0.07,0.1,92,2023,18,569,Non-protected woodland
542 2,0.725,0.101,0.066,0.028,0.59,0.8,0.06,0.16,0.05,92,2023,17,542,Sports field
542 3,0.75,0.032,0.044,0.088,0.56,0.76,0.06,0,0.05,92,2023,17,542,Sports field
542 4,0.636,0.056,0.081,0.204,0.67,0.83,0.06,0.16,0.05,92,2023,17,542,Sports field
542 6,0.643,0.065,0.082,0.204,0.64,0.84,0.06,0.16,0.2,92,2023,17,542,Non-protected woodland
542 9,0.498,0.05,0.069,0.143,0.82,0.74,0.1,0.47,0,92,2023,17,542,Sports field
542 5,0.63,0.029,0.046,0.144,0.69,0.75,0.1,0.47,0,92,2023,17,542,Sports field
542 11,0.644,0.008,0.011,0.008,0.49,0.65,0.1,0.47,0,92,2023,16,542,Sports field
542 1,0.846,0.003,0.003,0.015,0.32,0.73,0.1,0.47,0,92,2023,16,542,Sports field
654 2,0.102,0.01,0.01,0.025,0.35,0.19,0,0,0,91,2023,10,654,Public carpark
654 6,0.147,0.021,0.037,0.097,0.6,0.43,0,0,0,91,2023,10,654,Brownfield
654 5,0.081,0.013,0.01,0.008,0.28,0.21,0,0,0,91,2023,10,654,Public carpark
654 12,0.043,0.01,0.016,0.008,0.23,0.16,0,0,0,91,2023,10,654,Public carpark
917 7,0.358,0.104,0.113,0.239,0.94,0.75,0.02,0,0.01,77,2023,18,917,Non-protected woodland
917 1,0.368,0.055,0.067,0.18,0.87,0.69,0.02,0,0,77,2023,18,917,Public park
917 9,0.418,0.043,0.06,0.176,0.84,0.61,0.02,0,0,77,2023,17,917,Public park
917 8,0.452,0.05,0.046,0.19,0.83,0.64,0.02,0,0.01,77,2023,17,917,Public park
917 5,0.367,0.15,0.093,0.131,0.93,0.72,0.02,0,0,77,2023,17,917,Non-protected woodland
917 6,0.503,0.082,0.09,0.183,0.85,0.73,0.02,0,0.01,77,2023,17,917,Non-protected woodland
917 11,0.246,0.055,0.085,0.208,0.88,0.66,0.02,0,0,77,2023,17,917,Public roadside
948 5,0.546,0.03,0.044,0.052,0.69,0.51,0.02,0,0,77,2023,16,948,Other
948 3,0.457,0.124,0.113,0.133,0.9,0.8,0.02,0,0.01,77,2023,16,948,Other
948 9,0.623,0.123,0.076,0.027,0.71,0.66,0.02,0,0.01,77,2023,16,948,Other
948 8,0.557,0.143,0.085,0.049,0.79,0.6,0.02,0,0.02,77,2023,16,948,Other
948 7,0.629,0.136,0.056,0.018,0.69,0.64,0.02,0,0,77,2023,16,948,Sports field
948 2,0.375,0.051,0.054,0.081,0.78,0.47,0.02,0,0,77,2023,15,948,Sports field
948 4,0.353,0.074,0.051,0.061,0.78,0.5,0,0,0,77,2023,15,948,Other
713 3,0.305,0.122,0.152,0.305,0.95,0.87,0.07,0.03,0.03,71,2023,18,713,Nature reserve
713 6,0.272,0.167,0.158,0.352,0.92,0.85,0.07,0.03,0.03,71,2023,18,713,Nature reserve
713 9,0.244,0.102,0.109,0.299,0.96,0.84,0.07,0.03,0.06,71,2023,18,713,Non-protected woodland
713 8,0.312,0.071,0.067,0.083,0.81,0.47,0,0,0,71,2023,17,713,Public residential
713 12,0.259,0.051,0.046,0.091,0.75,0.5,0,0,0,71,2023,17,713,Public roadside
776 9,0.248,0.099,0.15,0.387,0.93,0.84,0.02,0.25,0.19,71,2023,17,776,Public park
776 5,0.289,0.119,0.138,0.308,0.96,0.89,0.02,0.25,0.05,71,2023,17,776,Public park
776 11,0.141,0.061,0.124,0.609,0.74,0.89,0.02,0.25,0.19,71,2023,16,776,Public park
776 1,0.15,0.071,0.142,0.592,0.75,0.88,0.02,0.25,0.16,71,2023,16,776,Public park
776 3,0.139,0.076,0.148,0.608,0.73,0.9,0.02,0.25,0.16,71,2023,16,776,Public park
776 2,0.172,0.084,0.161,0.524,0.82,0.9,0.02,0.25,0.16,71,2023,16,776,Public park
776 12,0.309,0.059,0.048,0.024,0.68,0.51,0,0,0,71,2023,15,776,Brownfield
663 6,0.162,0.047,0.063,0.06,0.66,0.43,0.01,0.01,0,67,2023,18,663,Sports field
663 3,0.661,0.057,0.041,0.028,0.63,0.67,0.01,0,0,67,2023,17,663,Public park
663 7,0.31,0.033,0.038,0.141,0.77,0.49,0.01,0,0.01,67,2023,17,663,Public park
663 5,0.622,0.009,0.012,0.041,0.55,0.57,0.01,0,0,67,2023,17,663,Sports field
663 8,0.139,0.094,0.04,0.012,0.58,0.27,0,0,0,67,2023,17,663,Public residential
566 8,0.87,0.007,0.014,0.091,0.32,0.81,0,0.03,0.01,67,2023,16,566,Public park
566 7,0.347,0.075,0.07,0.241,0.91,0.83,0,0.03,0.01,67,2023,16,566,Public park
566 1,0.367,0.097,0.097,0.31,0.91,0.87,0,0.03,0.02,67,2023,16,566,Public park
566 4,0.626,0.143,0.05,0.076,0.72,0.76,0,0.03,0.02,67,2023,16,566,Public park
566 6,0.436,0.068,0.052,0.139,0.84,0.79,0,0.03,0.01,67,2023,16,566,Public park
566 5,0.267,0.081,0.061,0.091,0.81,0.67,0,0,0,67,2023,15,566,Public park
566 3,0.431,0.047,0.056,0.184,0.84,0.69,0,0.03,0.01,67,2023,15,566,Public park
547 11,0.405,0.051,0.072,0.404,0.79,0.76,0.07,0.1,0.74,64,2023,18,547,Public park
547 5,0.734,0.08,0.056,0.101,0.58,0.61,0.07,0.1,0.74,64,2023,18,547,Public park
547 7,0.83,0.036,0.068,0.066,0.4,0.83,0.07,0.1,0.74,64,2023,18,547,Public park
547 1,0.284,0.053,0.124,0.54,0.69,0.89,0.07,0.1,0.74,64,2023,18,547,Public park
547 10,0.326,0.047,0.122,0.505,0.7,0.88,0.07,0.1,0.74,64,2023,18,547,Public park
547 8,0.187,0.082,0.237,0.483,0.79,0.84,0.07,0.1,0.74,64,2023,17,547,Public park
547 2,0.448,0.088,0.119,0.344,0.75,0.88,0.07,0.1,0.74,64,2023,17,547,Public park
580 6,0.729,0.03,0.046,0.177,0.54,0.82,0.07,0.25,0.12,64,2023,17,580,Sports field
580 5,0.938,0.01,0.014,0.038,0.18,0.78,0.07,0.25,0.12,64,2023,17,580,Sports field
580 2,0.818,0.024,0.043,0.114,0.4,0.79,0.07,0.25,0.12,64,2023,17,580,Sports field
580 1,0.772,0.028,0.04,0.132,0.5,0.81,0.07,0.25,0.12,64,2023,16,580,Sports field
580 3,0.986,0.001,0.001,0.001,0.05,0.85,0.07,0.25,0,64,2023,16,580,Public park
580 7,0.686,0.032,0.053,0.154,0.63,0.81,0.07,0.25,0.74,64,2023,16,580,Sports field
580 4,0.423,0.05,0.08,0.185,0.87,0.71,0.07,0.25,0.74,64,2023,16,580,Public park
369 1,0.548,0.045,0.064,0.138,0.78,0.75,0,0,0.01,54,2023,17,369,Public cemetery
369 10,0.733,0.032,0.039,0.067,0.57,0.71,0,0,0.03,54,2023,17,369,Public cemetery
369 7,0.414,0.048,0.091,0.133,0.85,0.69,0,0,0.03,54,2023,17,369,Public cemetery
369 3,0.578,0.04,0.021,0.007,0.58,0.27,0,0,0,54,2023,16,369,Brownfield
369 12,0.167,0.019,0.005,0.007,0.39,0.22,0,0,0,54,2023,16,369,Private commercial
369 8,0.189,0.015,0.02,0.023,0.48,0.32,0,0,0,54,2023,16,369,Private office
403 6,0.1,0.033,0.049,0.051,0.53,0.29,0,0,0,54,2023,15,403,Brownfield
403 12,0.207,0.041,0.038,0.023,0.58,0.32,0,0,0,54,2023,15,403,Brownfield
403 4,0.107,0.021,0.043,0.045,0.49,0.2,0,0,0,54,2023,15,403,Public roadside
403 7,0.162,0.036,0.063,0.035,0.6,0.33,0,0,0,54,2023,15,403,Public roadside
403 3,0.112,0.034,0.05,0.05,0.55,0.29,0,0,0,54,2023,15,403,Public roadside
420 8,0.004,0.003,0.003,0.001,0.05,0.11,0,0,0,49,2023,18,420,Public square
420 9,0.036,0.04,0.026,0.026,0.35,0.26,0,0,0,49,2023,17,420,Private commercial
420 10,0.097,0.062,0.057,0.04,0.57,0.29,0,0,0,49,2023,17,420,Private commercial
420 1,0.288,0.106,0.067,0.064,0.82,0.48,0,0,0,49,2023,17,420,Public carpark
420 11,0.105,0.024,0.026,0.061,0.49,0.34,0,0,0,49,2023,17,420,Public carpark
420 2,0.238,0.11,0.129,0.114,0.92,0.5,0,0,0,49,2023,17,420,Other
420 7,0.023,0.007,0.008,0.007,0.15,0.21,0,0,0,49,2023,17,420,Public carpark
421 4,0.314,0.076,0.107,0.404,0.88,0.91,0.1,1,0,49,2023,16,421,Public park
421 1,0.269,0.101,0.132,0.451,0.85,0.91,0.1,1,0.05,49,2023,16,421,Public park
421 10,0.289,0.106,0.144,0.453,0.8,0.9,0.1,1,0.04,49,2023,16,421,Public park
421 2,0.238,0.077,0.115,0.403,0.91,0.88,0.1,1,0.04,49,2023,15,421,Public park
421 3,0.498,0.062,0.1,0.212,0.84,0.79,0.1,1,0.05,49,2023,15,421,Public park
421 8,0.353,0.063,0.087,0.146,0.88,0.61,0.1,1,0,49,2023,15,421,Public park
421 6,0.239,0.045,0.029,0.085,0.69,0.44,0,0,0,49,2023,14,421,Public residential
792 3,0.353,0.019,0.022,0.035,0.6,0.35,0,0,0,35,2023,17,792,Sports field
792 11,0.226,0.088,0.053,0.025,0.69,0.43,0,0,0,35,2023,16,792,Private residential
792 4,0.274,0.058,0.048,0.025,0.67,0.32,0,0,0,35,2023,16,792,Sports field
559 8,0.183,0.03,0.032,0.049,0.58,0.33,0,0,0,26,2023,16,559,Private commercial
559 3,0.073,0.018,0.018,0.01,0.31,0.16,0,0,0,26,2023,15,559,Private commercial
559 5,0.071,0.02,0.008,0.008,0.28,0.04,0,0,0,26,2023,15,559,Private commercial
559 1,0.051,0.018,0.005,0.015,0.25,0.05,0,0,0,26,2023,15,559,Private office
559 4,0.002,0.001,0.001,0.003,0.03,0.1,0,0,0,26,2023,15,559,Public carpark
559 2,0.005,0,0,0,0.02,0.1,0,0,0,26,2023,15,559,Brownfield
559 6,0.231,0.041,0.042,0.047,0.65,0.62,0,0,0,26,2023,14,559,Public park
