title,species
922 4,Any_Bumblebee
1020 11,Any_Bumblebee
989 6,Any_Bumblebee
990 3,Any_Bumblebee
1084 2,Any_Bumblebee
1083 6,Any_Bumblebee
248 6,Any_Bumblebee
248 7,Any_Bumblebee
311 7,Any_Bumblebee
342 5,Any_Bumblebee
237 5,Any_Bumblebee
299 2,Any_Bumblebee
299 1,Any_Bumblebee
363 8,Any_Bumblebee
363 4,Any_Bumblebee
1033 9,Any_Bumblebee
971 4,Any_Bumblebee
1004 12,Any_Bumblebee
1004 3,Any_Bumblebee
941 8,Any_Bumblebee
941 7,Any_Bumblebee
1007 2,Any_Bumblebee
1007 6,Any_Bumblebee
686 1,Any_Bumblebee
819 8,Any_Bumblebee
819 4,Any_Bumblebee
680 7,Any_Bumblebee
612 2,Any_Bumblebee
612 5,Any_Bumblebee
612 8,Any_Bumblebee
612 3,Any_Bumblebee
136 4,Any_Bumblebee
295 4,Any_Bumblebee
295 6,Any_Bumblebee
231 3,Any_Bumblebee
231 12,Any_Bumblebee
231 1,Any_Bumblebee
239 6,Any_Bumblebee
335 1,Any_Bumblebee
906 9,Any_Bumblebee
906 8,Any_Bumblebee
547 8,Any_Bumblebee
403 6,Any_Bumblebee
420 10,Any_Bumblebee
420 1,Any_Bumblebee
421 3,Any_Bumblebee
559 3,Any_Bumblebee
823 7,Any_Bumblebee
990 5,Any_Bumblebee
1084 12,Any_Bumblebee
1084 6,Any_Bumblebee
538 7,Any_Bumblebee
580 3,Any_Bumblebee
792 4,Any_Bumblebee
661 3,Any_Bumblebee
989 3,Any_Bumblebee
989 8,Any_Bumblebee
343 6,Any_Bumblebee
612 6,Any_Bumblebee
542 4,Any_Bumblebee
917 6,Any_Bumblebee
948 4,Any_Bumblebee
776 12,Any_Bumblebee
369 3,Any_Bumblebee
420 2,Any_Bumblebee
559 8,Any_Bumblebee
559 2,Any_Bumblebee
876 2,Any_Hoverfly
422 4,Any_Hoverfly
410 5,Any_Hoverfly
661 3,Any_Hoverfly
1020 4,Any_Hoverfly
990 9,Any_Hoverfly
990 7,Any_Hoverfly
1083 6,Any_Hoverfly
342 6,Any_Hoverfly
1033 9,Any_Hoverfly
1007 2,Any_Hoverfly
393 3,Any_Hoverfly
612 6,Any_Hoverfly
612 4,Any_Hoverfly
612 3,Any_Hoverfly
